strumento;S;per;E;rappresentare;V;2
valori;S;dei;E+RD;dati;S;2
fra;E;i;RD;valori;S;2
modello;S;relazionale;A;non;BN;2
vedremo;V;fra;E;poco;B;2
è;V;molto;B;importante;A;2
modello;S;relazionale;A;la;RD;2
il;RD;presupposto;S;per;E;2
un;RI;certo;A;insieme;S;2
certo;A;insieme;S;di;E;2
dei;E+RD;legami;S;logici;A;2
esami;S;c;S;';FB;2
che;PR;è;VA;definito;V;2
è;VA;definito;V;sullo;E+RD;2
definito;V;sullo;E+RD;stesso;A;2
matricola;S;della;E+RD;relazione;S;2
che;PR;sono;VA;definiti;V;2
non;BN;è;V;così;B;2
lo;RD;vedremo;V;più;B;2
tra;E;di;E;loro;PE;2
di;E;loro;PE;righe;S;2
non;BN;c;S;`;X;2
che;CS;nell;S;`;X;2
modello;S;relazionale;A;che;PR;2
tutti;T;gli;RD;altri;A;2
le;RD;due;N;cose;S;2
vedremo;V;fra;E;un;RI;2
un;RI;attimo;S;in;E;2
parleremo;V;di;E;relazione;S;2
terza;NO;accezione;S;del;E+RD;2
che;PR;noi;PE;useremo;V;2
un;RI;modello;S;relazionale;A;2
a;E;livello;S;concettuale;A;2
prodotto;S;cartesiano;A;e;CC;2
relazione;S;la;RD;relazione;S;2
tre;N;e;CC;così;B;2
un;RI;sottoinsieme;S;di;E;2
è;V;un;RI;insieme;S;2
senso;S;che;CS;la;RD;2
per;E;cui;PR;se;CS;2
cui;PR;se;CS;voi;PE;2
di;E;uno;RI;cartesiano;S;2
uno;RI;cartesiano;S;di;E;2
cartesiano;S;di;E;uno;RI;2
due;N;relazioni;S;diverse;A;2
un;RI;prodotto;S;cartesiano;S;2
l'ordine;SP;con;E;cui;PR;2
è;V;che;CS;non;BN;2
questo;DD;prodotto;S;cartesiano;B;2
il;RD;prodotto;S;cartesiano;S;2
un;RI;elemento;S;del;E+RD;2
come;CS;ho;VA;detto;V;2
ho;VA;detto;V;prima;B;2
non;BN;è;V;di;E;2
è;V;di;E;2;N;2
di;E;2;N;cartesiano;S;2
il;RD;valore;S;tratto;V;2
valore;S;tratto;V;da;E;2
tratto;V;da;E;di;E;2
e;CC;poi;B;il;RD;2
di;E;prodotto;V;cartesiano;A;2
a;E;cui;PR;forse;B;2
di;E;avere;V;due;N;2
mi;PC;costruisco;V;un;RI;2
in;E;cui;PR;ci;PC;2
cui;PR;ci;PC;sono;V;2
usato;V;due;N;volte;S;2
usato;V;in;E;due;N;2
in;E;due;N;modi;S;2
due;N;modi;S;diversi;A;2
noi;PE;sappiamo;V;che;CS;2
sappiamo;V;che;CS;nel;E+RD;2
è;V;la;RD;squadra;S;2
la;RD;squadra;S;ospite;S;2
è;V;un;RI;oggetto;S;2
questo;DD;oggetto;S;è;V;2
se;CS;io;PE;volessi;V;2
nella;E+RD;prima;NO;colonna;S;2
il;RD;significato;S;di;E;2
tutti;T;i;RD;casi;S;2
in;E;cui;PR;la;RD;2
cercami;S;nella;E+RD;colonna;S;2
nella;E+RD;colonna;S;2;N;2
le;RD;righe;S;in;E;2
non;BN;va;V;bene;B;2
il;RD;dominio;S;stringa;S;2
che;PR;è;V;il;RD;2
è;V;il;RD;suo;AP;2
`;X;uso;S;dei;E+RD;2
a;E;questo;DD;punto;S;2
essere;V;una;RI;relazione;S;2
io;PE;do;SP;un;RI;2
all;E+RD;`;X;uso;S;2
il;RD;significato;S;che;PR;2
fatto;S;che;CS;la;RD;2
è;V;la;RD;stessa;A;2
modello;S;relazionale;A;e;CC;2
attributi;S;in;E;una;RI;2
una;RI;relazione;S;non;BN;2
';FB;è;V;questo;DD;2
ma;CC;in;E;una;RI;2
con;E;una;RI;tabella;S;2
è;V;vero;A;che;CS;2
tabella;S;se;CS;voi;PE;2
sulla;E+RD;base;S;dei;E+RD;2
diverse;A;fra;E;di;E;2
tabella;S;non;BN;è;V;2
non;BN;è;V;una;RI;2
abbiamo;VA;costruito;V;le;RD;2
costruito;V;le;RD;relazioni;S;2
